repo,commit,high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_no_unique_cwes
letta,03010d262a1882944fc3d4eab454692311874e7c,3598,35,113,25,158,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,052c296ea17fefda1d1db434533aeba0010e15e3,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,0607f78f8c6a4caa0b7a1309fcbf7d894c13a124,3753,38,113,25,161,3718,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,0ef6de6c0cd2ff6cfec9076481b519922d37ab4a,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,0fbe22dd4368cc7e2b8d352e5b1dd366b8615d25,3694,37,113,25,160,3659,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,0feb23167007b31b664300a84845efd110bb7390,3689,37,113,25,160,3654,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,18e4062d050964854e5c36de535f1fc91aae5cc1,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,22c7c71c66cece835ff29c1a6480a52633f42cab,3706,35,113,25,158,3671,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,2392d551ca853e0e65b7c57c8f5c0fabf8864653,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,274382953a182320cb397914c084537603ddaad8,3682,35,113,25,158,3647,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,28122d64e97abd77e41a8395fc8ca67044656b17,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,2a3549fe11b023207719a5731675e91810b4ce6a,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,2b00b2b14b3978c0b351464629b25d2372b74708,3621,35,114,25,159,3586,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,2e3415bc61b044614b89b2b3d76fda6538a45bef,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,2f3b5a869d096f8ac719f7357693f62d301de1d5,3661,37,112,25,159,3626,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,3385d303c440236f7b74d3dd8d33c61f8d28e570,3598,35,112,25,157,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,347d5e4ba82eda68d60debeb48095c992597ae13,3597,35,113,25,158,3562,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,35e6f098e04ff63b5929884914851ff69f6dfcf0,3626,35,114,25,159,3591,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,3b742b8f8044784d5c50914ef966248f62de469b,3594,35,112,25,157,3559,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,3e96bf41d2f1f88211da270365379397deba95a4,3594,35,112,25,157,3559,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,3fa3126c311368102052c63d967483da60e40883,3729,36,113,25,159,3694,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,3ffc9512f115b92bbf23f02bee82e83185bc466f,3621,35,114,25,159,3586,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,459fef1c5b089a5593294acb8e668bc1d259a2c5,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,472ad1ab721bea5c40d568ab33cd916ca4be6bd6,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,4c5cbbedb2d3eb6f31727322c9644d42bc831542,3629,35,114,25,159,3594,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,5086e133e72e3e5712c652b2d5e39c18bc72ab6d,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,52a483d77ff02e2b319157ffdfe82d37692e649f,3601,35,113,25,158,3566,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,52dba65bdeadffe2714505854d1fc6ca6de6d10a,3670,35,113,25,158,3635,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,53e42b4fdbeba3e818eeb17f1acf3003c477ebea,3622,35,113,25,158,3587,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,558199f23d7fc5715d3bd9284e09919dd2fd1831,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,566b80dbf1d4342984050d17c793f4efe148ecab,3600,35,113,25,158,3565,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,5754e10cbd47f5e7450fc36812c5030f7c3b1d50,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,591116ffc0a7895088706c96f239f8090c682851,3729,36,113,25,159,3694,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,5ae60590a0d1d2964a988d5771ed051da22c454c,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6048efa5cf4a6e41ef63a8fbf52477410e3799af,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,605f1ab415b73735376af8494d7fe6fc4c66b73e,3618,35,113,25,158,3583,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6427ed83c30cdc7a839379abe4146ad0ac5dc438,3703,35,113,25,158,3668,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,694b8b3aeb389777d7c4b9bffe518e33aef82108,3747,36,113,25,159,3712,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6baca7997f8c4dd88c5fdae2c041dbb18dab1d23,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6fdcb49f1715c2a8fed4c3b0665087b7ad4e31da,3669,35,113,25,158,3634,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,759577ffeeac321bdbf49acf3b2741b43557632b,3712,36,113,25,159,3677,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,76b3560be435f49e6e1988231b981e2916345a89,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,777b4831c5e194591aa17151f2e2274f35a1c9e3,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7d834ed5376a3e786eeb882ab84215b674193992,3734,36,113,25,159,3699,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7f2b732c85722e16047e91a06260727171aad4b1,3598,35,112,25,157,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7f71752d4bbd53548c125d52dff522836e0951d1,3635,37,113,25,160,3600,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7fc87d85c354cc9eb2b81534d04f85b081d68b3a,3598,35,113,25,158,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,8302c00368ced81253d2dd48a2b83c4430cfdbde,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
