repo,commit,high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_no_unique_cwes
autogen,0276aac8fb81a502dbd1b0f4d60154fd7fc66200,4108,14,3,22,40,4063,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,05b14f197aa1fd29dfa9288dddb4cad257d89dbf,4017,14,3,22,40,3972,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,05fc763b8a36cc1e9e9b06506a1e1afd675a47ec,3900,14,3,22,36,3859,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,07a455f23995c8242f31b44687bb28582462fb53,3902,14,3,22,36,3861,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,0a988b63939aaec989a2d8ddbe5a5af0ce4f1477,4077,14,3,22,40,4032,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,0b9a622b564790ea3cf051f9ba03b0cb64048439,3980,14,3,22,36,3939,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,134a8c71ef5377b55240a6598e4c6fdd6879bfc8,4044,14,3,22,40,3999,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,13804125823649f2d199c5127dd9cbffdae4d622,3867,14,3,22,36,3826,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,173e649aa6e3925e67edcb0d60560a6ea4988419,3867,14,3,22,36,3826,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,1b51e69602f544d6867233827562a58d1e0f06c1,3976,14,3,22,36,3935,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,1f30622adcfc88b0839620d3708669f919f37ef0,3867,14,3,22,36,3826,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,21770766bfda152b96be6e35cc3188f9b64c3b75,4017,14,3,22,40,3972,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,25737391116283283de2433db52d620e20f41902,4077,14,3,22,40,4032,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,296de5253a02e900a7d0e8cfc1f206ad8d4e95a9,4108,14,3,22,40,4063,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,2cc8c73d3b83911892903001d64425298cc94da4,4056,14,3,22,40,4011,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,30b1b8f90cac1f44f4ae5f4fe134e9364380b60e,4016,14,3,22,40,3971,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,3855989543f8425866c3b1726f3033a117b02480,3987,14,3,22,36,3946,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,39bfa35e281016827686aecb8980397bc024d282,3987,14,3,22,36,3946,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,3a1108a5751fd1b3e533bf5d5b5ab4298c7f7882,4096,14,3,22,40,4051,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
